b'<s> it is unusable in a moving car at freeway speed <\\s>',b'It is unusable in a moving car at freeway speed.'
b'<s> i have two more years left in this contract and i hate this phone <\\s>',b'I have two more years left in this contract and I hate this phone.'
b'<s> car charger as well as ac charger are included to make sure you never run out of juice highy recommended <\\s>',b'Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended'
b'<s> you need at least 3 mins to get to your phone book from the time you first turn on the phone battery life is short <\\s>',b'You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.'
b'<s> it has kept up very well <\\s>',b'It has kept up very well.'
b'<s> the case is great and works fine with the 680 <\\s>',b'The case is great and works fine with the 680.'
b'<s> worthless product <\\s>',b'worthless product.'
b'<s> it has a great camera thats 2mp and the pics are nice and clear with great picture quality <\\s>',"b'It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.'"
b'<s> i was not impressed by this product <\\s>',b'I was not impressed by this product.'
b'<s> nice headset priced right <\\s>',b'Nice headset priced right.'
b'<s> i only hear garbage for audio <\\s>',b'I only hear garbage for audio.'
b'<s> excellent bluetooth headset <\\s>',b'Excellent bluetooth headset.'
b'<s> it has all the features i want <\\s>',b'It has all the features I want'
b'<s> who in their right mind is gonna buy this battery <\\s>',b'Who in their right mind is gonna buy this battery?.'
b'<s> after arguing with verizon regarding the dropped calls we returned the phones after two days <\\s>',b'AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.'
b'<s> this case seems well made <\\s>',b'This case seems well made.'
b'<s> disappointed with battery <\\s>',b'Disappointed with battery.'
b'<s> not loud enough and doesnt turn on like it should <\\s>',"b""Not loud enough and doesn't turn on like it should."""
b'<s> a usable keyboard actually turns a pda into a real world useful machine instead of just a neat gadget <\\s>',b'A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.'
b'<s> i love this thing <\\s>',b'I love this thing!'
b'<s> everything about it is fine and reasonable for the price i e <\\s>',b'Everything about it is fine and reasonable for the price i.e.'
b'<s> very disappointed <\\s>',b'VERY DISAPPOINTED.'
b'<s> i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great <\\s>',b'I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!'
b'<s> i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end <\\s>',b'I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.'
b'<s> the buttons for on and off are bad <\\s>',b'The buttons for on and off are bad.'
b'<s> essentially you can forget microsoft tech support <\\s>',"b""Essentially you can forget Microsoft's tech support."""
b'<s> i really recommend this faceplates since it looks very nice elegant and cool <\\s>',"b'I really recommend this faceplates since it looks very nice, elegant and cool.'"
b'<s> these headphones were a great find and i think they are perhaps the best purchase ive made in the last several years seriously <\\s>',"b""These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously."""
b'<s> buy a different phone but not this <\\s>',b'Buy a different phone - but not this.'
b'<s> the one big drawback of the mp3 player is that the buttons on the phone front cover that let you pause and skip songs lock out after a few seconds <\\s>',"b""The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds."""
b'<s> a week later after i activated it it suddenly died <\\s>',"b'A week later after I activated it, it suddenly died.'"
b'<s> it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes <\\s>',b'It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.'
b'<s> great for ipods too <\\s>',b'Great for iPODs too.'
b'<s> this device is great in several situations1 <\\s>',b'This device is great in several situations:1.)'
b'<s> mic doesnt work <\\s>',"b""Mic Doesn't work."""
b'<s> this is a beautiful phone <\\s>',b'This is a beautiful phone.'
b'<s> do not buy for d807 wrongly advertised for d807 <\\s>',b'Do Not Buy for D807...wrongly advertised for D807.'
b'<s> this is a great little item <\\s>',b'This is a great little item.'
b'<s> i love this phone it is very handy and has a lot of features <\\s>',"b'I love this phone , It is very handy and has a lot of features .'"
b'<s> i purchased this and within 2 days it was no longer working <\\s>',b'I purchased this and within 2 days it was no longer working!!!!!!!!!'
b'<s> i wear it everyday and it holds up very well <\\s>',b'I wear it everyday and it holds up very well.'
b'<s> not a good bargain <\\s>',b'Not a good bargain.'
b'<s> this item worked great but it broke after 6 months of use <\\s>',"b'This item worked great, but it broke after 6 months of use.'"
b'<s> this phone works great <\\s>',b'This phone works great.'
b'<s> the construction of the headsets is poor <\\s>',b'The construction of the headsets is poor.'
b'<s> product was excellent and works better than the verizon one and boy was it cheaper <\\s>',b'Product was excellent and works better than the verizon one and Boy was it cheaper!'
b'<s> the phone loads super <\\s>',b'The phone loads super!'
b'<s> for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does <\\s>',"b'For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.'"
b'<s> made very sturdy <\\s>',b'Made very sturdy.'
b'<s> worked great <\\s>',b'Worked great!.'
b'<s> the ear buds only play music in one ear <\\s>',b'The ear buds only play music in one ear.'
b'<s> dont waste your money  <\\s>',b'Dont waste your money...'
b'<s> will order from them again <\\s>',b'Will order from them again!'
b'<s> if you plan to use this in a car forget about it <\\s>',b'If you plan to use this in a car forget about it.'
b'<s> integrated seamlessly with the motorola razr phone <\\s>',b'Integrated seamlessly with the Motorola RAZR phone.'
b'<s> buyer beware you could flush money right down the toilet <\\s>',"b'Buyer Beware, you could flush money right down the toilet.'"
b'<s> definitely a bargain <\\s>',b'Definitely a bargain.'
b'<s> the price was very good and with the free shipping and all it was a good purchase <\\s>',b'The price was very good and with the free shipping and all it was a good purchase.'
b'<s> i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger <\\s>',b'I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.'
b'<s> pros good camera very nice pictures also has cool styles like black and white and more <\\s>',"b'Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.'"
b'<s> that a huge design flaw unless im not using it correctly which i dont think is the case <\\s>',"b""That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case)."""
b'<s> i love my 350 headset  <\\s> <s> my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit <\\s>',"b'I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.'"
b'<s> i purcashed this for the car charger and it does not work <\\s>',b'I purcashed this for the car charger and it does not work.'
b'<s> this phone is slim and light and the display is beautiful <\\s>',b'This phone is slim and light and the display is beautiful.'
b'<s> its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case <\\s>',b'its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.'
b'<s> great product fast shipping <\\s>',"b'Great product, fast shipping!.'"
b'<s> absolutely great <\\s>',b'Absolutely great.'
b'<s> the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad <\\s>',b'The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.'
b'<s> it is very comfortable on the ear <\\s>',b'It is very comfortable on the ear.'
b'<s> it has been a winner for us <\\s>',b'It has been a winner for us.'
b'<s> setup couldnt have been simpler <\\s>',"b"")Setup couldn't have been simpler."""
b'<s> ive tried several different earpieces for my cell phone and this jabra one is the first one ive found that fits my ear comfortably <\\s>',"b""I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably."""
b'<s> could not get strong enough signal <\\s>',b'Could not get strong enough signal.'
b'<s> iam very pleased with my purchase <\\s>',b'Iam very pleased with my purchase.'
b'<s> bad quality <\\s>',b'Bad Quality.'
b'<s> gets the job done <\\s>',b'Gets the job done.'
b'<s> great audio <\\s>',b'Great audio!.'
b'<s> basically the service was very bad <\\s>',b'Basically the service was very bad.'
b'<s> it did not work in my cell phone plug i am very up set with the charger <\\s>',b'it did not work in my cell phone plug i am very up set with the charger!.'
b'<s> ive only had my bluetooth for a few weeks but i really like it <\\s>',"b""I've only had my bluetooth for a few weeks, but I really like it."""
b'<s> the bt headset was such a disapoinment <\\s>',b'The BT headset was such a disapoinment.'
b'<s> it is so small and you dont even realize that it is there after a while of getting used to it <\\s>',"b""It is so small and you don't even realize that it is there after a while of getting used to it."""
b'<s> the accompanied software is almost brilliant <\\s>',b'The accompanied software is almost brilliant.'
b'<s> i definitly recommend <\\s>',b'!I definitly recommend!!'
b'<s> buyer be very careful <\\s>',b'Buyer--Be Very Careful!!!!!.'
b'<s> very good stuff for the price <\\s>',b'Very good stuff for the price.'
b'<s> my headset works just peachy keen <\\s>',b'My headset works just peachy-keen.'
b'<s> in my house i was getting dropped coverage upstairs and no coverage in my basement <\\s>',b'In my house I was getting dropped coverage upstairs and no coverage in my basement.'
b'<s> voice recognition is tremendous <\\s>',b'Voice recognition is tremendous!'
b'<s> what a waste <\\s>',b'What a waste.'
b'<s> during several different 2 minute calls i experienced 5 drops and it was in an area that had 5 bars <\\s>',"b'During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.'"
b'<s> i was not happy with this item <\\s>',b'I was not happy with this item.'
b'<s> the phone takes forever to charge like 2 to 5 hours literally <\\s>',b'The phone takes FOREVER to charge like 2 to 5 hours literally.'
b'<s> i got this phone on reccomendation from a relative and im glad i did <\\s>',"b""I got this phone on reccomendation from a relative and I'm glad I did."""
b'<s> what a waste of time <\\s>',b'What a waste of time!'
b'<s> its reception is very very poor <\\s>',b'Its reception is very very poor.'
b'<s> items stated as included from the description are not included <\\s>',b'Items stated as included from the description ARE NOT INCLUDED.'
b'<s> after 3 months screen just went black all of a sudden <\\s>',"b'After 3 months, screen just went black all of a sudden.'"
b'<s> i was hoping for more <\\s>',b'I Was Hoping for More.'
b'<s> audio quality is poor very poor <\\s>',"b'Audio Quality is poor, very poor.'"
b'<s> i know that sounds funny but to me it seemed like sketchy technology that wouldnt work well well this one works great <\\s>',"b""I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great."""
b'<s> this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used <\\s>',b'This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.'
b'<s> nice quality build unlike some cheap s*** out there <\\s>',"b'Nice quality build, unlike some cheap s*** out there.'"
b'<s> this item is fantastic and works perfectly <\\s>',b'This item is fantastic and works perfectly!'
b'<s> and i just love the colors <\\s>',b'And I just love the colors!'
b'<s> w810i is just superb <\\s>',b'W810i is just SUPERB.'
b'<s> great charger <\\s>',b'Great charger.'
b'<s> this is essentially a communications tool that does not communicate <\\s>',b'This is essentially a communications tool that does not communicate.'
b'<s> works like a charm it work the same as the one i got with the phone <\\s>',b'Works like a charm; it work the same as the one I got with the phone.'
b'<s> i still maintain that monkeys shouldnt make headphones we just obviously dont share enough dna to copy the design over to humans <\\s>',"b""I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans."""
b'<s> great value <\\s>',b'Great Value.'
b'<s> the look of it is very sharp and the screen is nice and clear with great graphics <\\s>',"b'The look of it is very sharp and the screen is nice and clear, with great graphics.'"
b'<s> doesnt last long <\\s>',"b""doesn't last long."""
b'<s> one thing i hate is the mode set button at the side <\\s>',b'One thing I hate is the mode set button at the side.'
b'<s> excellent service <\\s>',b'EXCELLENT SERVICE!!!!!!!!.'
b'<s> thank you for wasting my money <\\s>',b'Thank you for wasting my money.'
b'<s> how can that bethe audio quality is poor <\\s>',b'How can that be?The audio quality is poor.'
b'<s> the igo chargers and tips are really great <\\s>',b'The iGo chargers and tips are really great.'
b'<s> the file browser offers all the options that one needs handsfree is great <\\s>',b'The file browser offers all the options that one needs.Handsfree is great.'
b'<s> superb phone on a great network <\\s>',b'Superb Phone on a Great Network.'
b'<s> i connected my wife bluetoothmotorola hs850 to my phone and it worked like a charm whether the phone was in my pocket or the case <\\s>',"b""I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case."""
b'<s> it only recognizes the phone as its storage device <\\s>',b'It only recognizes the Phone as its storage device.'
b'<s> if you like a loud buzzing to override all your conversations then this phone is for you <\\s>',"b'If you like a loud buzzing to override all your conversations, then this phone is for you!'"
b'<s> dont buy this product <\\s>',"b""Don't buy this product."""
b'<s> ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear <\\s>',"b""I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear."""
b'<s> the sound quality is good and functionality is awesome <\\s>',b'The sound quality is good and functionality is awesome.'
b'<s> i have this phone and it is a thorn in my side i really abhor it <\\s>',"b'I have this phone and it is a thorn in my side, I really abhor it.'"
b'<s> incredible <\\s>',b'Incredible!.'
b'<s> design flaw <\\s>',b'Design Flaw?.'
b'<s> great phone <\\s>',b'Great phone!.'
b'<s> waste of 13 bucks <\\s>',b'Waste of 13 bucks.'
b'<s> but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then im lost <\\s>',"b""But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost."""
b'<s> any ring tone overall good phone to buy  <\\s>',b'Any ring tone..Overall good phone to buy..'
b'<s> lately they have been extremely nice and helpful on the phone <\\s>',b'Lately they have been extremely nice and helpful on the phone.'
b'<s> i have had problems wit hit dropping signal and more <\\s>',b'I have had problems wit hit dropping signal and more.'
b'<s> not impressed <\\s>',b'Not impressed.'
b'<s> light weight i hardly notice it is there <\\s>',"b'Light weight, I hardly notice it is there.'"
b'<s> youll love how thin it is <\\s>',"b""You'll love how thin it is."""
b'<s> bad choice <\\s>',b'Bad Choice.'
b'<s> useless phone simply deaf <\\s>',"b'useless phone, simply deaf.'"
b'<s> the color is even prettier than i thought it would be and the graphics are incredibly sharp <\\s>',"b'The color is even prettier than I thought it would be, and the graphics are incredibly sharp.'"
b'<s> all in all i think it was a good investment <\\s>',b'All in all I think it was a good investment.'
b'<s> it makes very strange ticking noises before it ends the call <\\s>',b'It makes very strange ticking noises before it ends the call.'
b'<s> the best electronics of the available fm transmitters <\\s>',b'The best electronics of the available FM Transmitters.'
b'<s> great headset very impressed h500 <\\s>',"b'great headset, very impressed - H500.'"
b'<s> the 1 2 mega pixel camera being a part of a phone is reasonably good7 <\\s>',"b'The 1.2 mega pixel camera, being a part of a phone, is reasonably good7.'"
b'<s> we are sending it back <\\s>',b'We are sending it back.'
b'<s> i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway <\\s>',b'I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.'
b'<s> if you hate earbugs avoid this phone by all means <\\s>',"b'If you hate earbugs, avoid this phone by all means.'"
b'<s> great price also <\\s>',b'Great price also!'
b'<s> fast service <\\s>',b'fast service.'
b'<s> i would highly recommend this <\\s>',b'I would highly recommend this.'
b'<s> i would recommend this <\\s>',b'I would recommend this.'
b'<s> i also didnt like the on button it felt like it would crack with use <\\s>',"b""I also didn't like the on button, it felt like it would crack with use."""
b'<s> im still infatuated with this phone <\\s>',"b""I'm still infatuated with this phone."""
b'<s> freezes frequently4 <\\s>',b'Freezes frequently4.'
b'<s> it kind of embarrassing to use because of how it looks and mostly it embarrassing how child like the company is <\\s>',"b""It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is."""
b'<s> simple lightweight and great fit <\\s>',"b'Simple, lightweight and great fit.'"
b'<s> all in all id expected a better consumer experience from motorola <\\s>',"b""All in all, I'd expected a better consumer experience from Motorola."""
b'<s> there a horrible tick sound in the background on all my calls that i have never experienced before <\\s>',"b""There's a horrible tick sound in the background on all my calls that I have never experienced before."""
b'<s> these are certainly very comfortable and functionality is decent <\\s>',b'These are certainly very comfortable and functionality is decent.'
b'<s> i usually dont like headbands but this one is very lightweight & doesnt mess up my hair <\\s>',"b""I usually don't like headbands but this one is very lightweight & doesn't mess up my hair."""
b'<s> im a bit disappointed <\\s>',"b""I'm a bit disappointed."""
b'<s> i have had this phone for over a year now and i will tell you its not that great <\\s>',"b'I have had this phone for over a year now, and I will tell you, its not that great.'"
b'<s> i ordered this for sony ericsson w810i but i think it only worked once thats when i first used it <\\s>',b'I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).'
b'<s> the battery is completely useless to me <\\s>',b'The battery is completely useless to me.'
b'<s> what a big waste of time <\\s>',b'What a big waste of time.'
b'<s> dont waste your $$$ on this one <\\s>',"b""Don't waste your $$$ on this one."""
b'<s> great sound and service <\\s>',b'Great sound and service.'
b'<s> really pleased with this product so far <\\s>',b'Really pleased with this product so far.'
b'<s> one of my favorite purchases ever <\\s>',b'One of my favorite purchases ever.'
b'<s> best bluetooth on the market <\\s>',b'best bluetooth on the market.'
b'<s> authentic leather with nice shine and comfort  i recommend you this case <\\s>',b'Authentic leather with nice shine and comfort .I recommend you this case !!'
b'<s> i was very excited to get this headset because i thought it was really cute <\\s>',b'I was very excited to get this headset because I thought it was really cute.'
b'<s> do not make the same mistake as me <\\s>',b'Do not make the same mistake as me.'
b'<s> big disappointment with calendar sync <\\s>',b'Big Disappointment with calendar sync.'
b'<s> the phone was unusable and was not new <\\s>',b'the phone was unusable and was not new.'
b'<s> worst customer service ever <\\s>',b'Worst Customer Service Ever.'
b'<s> it defeats the purpose of a bluetooth headset <\\s>',b'It defeats the purpose of a bluetooth headset.'
b'<s> worth every penny <\\s>',b'Worth every penny.'
b'<s> excellent wallet type phone case <\\s>',b'Excellent wallet type phone case.'
b'<s> internet is excrutiatingly slow <\\s>',b'Internet is excrutiatingly slow.'
b'<s> it is very comfortable to wear as well which is probably the most important aspect about using a case <\\s>',"b'It is very comfortable to wear as well, which is probably the most important aspect about using a case.'"
b'<s> it fits like a glove and is strong secure and durable <\\s>',"b""It's fits like a glove and is strong, secure, and durable."""
b'<s> o my gosh the best phone i have ever had <\\s>',b'O my gosh the best phone I have ever had.'
b'<s> it very attractive and appears to be of good quality <\\s>',"b""It's very attractive and appears to be of good quality."""
b'<s> i love all the features and form factor <\\s>',b'I love all the features and form factor.'
b'<s> this product had a strong rubber petroleum smell that was unbearable after a while and caused me to return it <\\s>',b'This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it'
b'<s> poor quality and service <\\s>',b'poor quality and service.'
b'<s> the cable looks so thin and flimsy it is scary <\\s>',"b'The cable looks so thin and flimsy, it is scary.'"
b'<s> excellent hands free tool <\\s>',b'Excellent hands free tool.'
b'<s> great for using with your home stereo <\\s>',b'Great for using with your home stereo.'
b'<s> good product incredible value <\\s>',b'Good product - incredible value.'
b'<s> works great <\\s>',b'Works great.'
b'<s> that one didnt work either <\\s>',"b""THAT one didn't work either."""
b'<s> battery life is real good <\\s>',b'Battery life is real good.'
b'<s> returned 8 hours later <\\s>',b'Returned 8 hours later.'
b'<s> not only will it drain your player but may also potentially fry it <\\s>',"b'Not only will it drain your player, but may also potentially fry it.'"
b'<s> worked perfectly <\\s>',b'Worked perfectly!'
b'<s> unreliable im giving up <\\s>',"b""Unreliable - I'm giving up."""
b'<s> i gave it 5 stars because of the sound quality <\\s>',b'I gave it 5 stars because of the sound quality.'
b'<s> avoid this one if you can <\\s>',b'Avoid this one if you can.'
b'<s> reversible plug works great <\\s>',b'Reversible plug works great.'
b'<s> i wasted my little money with this earpiece <\\s>',b'I wasted my little money with this earpiece.'
b'<s> very good phone <\\s>',b'Very good phone.'
b'<s> best of all is the rotating feature very helpful <\\s>',"b'Best of all is the rotating feature, very helpful.'"
b'<s> comfort for our whole family <\\s>',b'Comfort for our whole family.'
b'<s> good product good seller <\\s>',"b'Good product, good seller.'"
b'<s> i love this bluetooth <\\s>',b'I love this bluetooth!'
b'<s> first of all it doesnt wear well <\\s>',"b""First of all, it doesn't wear well."""
b'<s> i am very impressed with this headset from plantronics <\\s>',b'I am very impressed with this headset from Plantronics.'
b'<s> i got it because it was so small and adorable <\\s>',b'I got it because it was so small and adorable.'
b'<s> great phone <\\s>',b'Great phone!.'
b'<s> piece of junk <\\s>',b'Piece of Junk.'
b'<s> this item is great installed it let it charged up overnite and it has been working good every since with no problems <\\s>',"b'This item is great, installed it, let it charged up overnite and it has been working good every since with no problems'"
b'<s> dont buy it <\\s>',"b""Don't buy it."""
b'<s> excellent phone <\\s>',b'Excellent Phone.'
b'<s> do not purchase this phone <\\s>',b'DO NOT PURCHASE THIS PHONE.'
b'<s> this is hands down the best phone ive ever had <\\s>',"b""This is hands down the best phone I've ever had."""
b'<s> this one works and was priced right <\\s>',b'This one works and was priced right.'
b'<s> sending it back <\\s>',b'Sending it back.'
b'<s> now i know that i made a wise decision <\\s>',b'Now I know that I made a wise decision.'
b'<s> everything worked on the first try the device was certainly engineered in a clever way and the construction feels good <\\s>',b'Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.'
b'<s> i received it quickly and it works great <\\s>',b'I received it quickly and it works great!!'
b'<s> has been working great <\\s>',b'Has been working great.'
b'<s> my 5 year old nokia 2160 from tracfone holds the charge a lot better than this <\\s>',b'My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.'
b'<s> they do not care about the consumer one bit <\\s>',b'They do not care about the consumer one bit.'
b'<s> the instruction manual is lacking <\\s>',b'The instruction manual is lacking.'
b'<s> also its slim enough to fit into my alarm clock docking station without removing the case <\\s>',b'Also its slim enough to fit into my alarm clock docking station without removing the case.'
b'<s> phone now holds charge like it did when it was new <\\s>',b'Phone now holds charge like it did when it was new.'
b'<s> it uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg <\\s>',"b""It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG)."""
b'<s> we have gotten a lot of compliments on it <\\s>',b'We have gotten a lot of compliments on it.'
b'<s> this is definitely a must have if your state does not allow cell phone usage while driving <\\s>',b'This is definitely a must have if your state does not allow cell phone usage while driving.'
b'<s> i want my money back <\\s>',b'I want my money back.'
b'<s> i love this device <\\s>',b'I love this device.'
b'<s> i am also very happy with the price <\\s>',b'I am also very happy with the price.'
b'<s> i ordered this product first and was unhappy with it immediately <\\s>',b'I ordered this product first and was unhappy with it immediately.'
b'<s> the ngage is still lacking in earbuds <\\s>',b'The Ngage is still lacking in earbuds.'
b'<s> i was able to do voice dialing in the car with no problem <\\s>',b'I was able to do voice dialing in the car with no problem.'
b'<s> i have 2 3 bars on my cell phone when i am home but you cant not hear anything <\\s>',"b'I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.'"
b'<s> good item low price <\\s>',"b'good item, low price.'"
b'<s> however the riingtones are not the best and neither are the games <\\s>',"b'However-the riingtones are not the best, and neither are the games.'"
b'<s> the plug did not work very well <\\s>',b'The plug did not work very well.'
b'<s> rip off over charge shipping <\\s>',b'Rip off---- Over charge shipping.'
b'<s> very comfortable <\\s>',b'VERY comfortable.'
b'<s> the battery is working well as a replacement for the original that came with the phone over 2 years ago <\\s>',b'The battery is working well as a replacement for the original that came with the phone over 2 years ago.'
b'<s> the reception is excellent <\\s>',b'The reception is excellent!'
b'<s> it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days <\\s>',"b'It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.'"
b'<s> very clear quality sound and you dont have to mess with the sound on your ipod since you have the sound buttons on the headset <\\s>',"b""very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset."""
b'<s> 1 long lasting battery you dont have to recharge it as frequentyly as some of the flip phones2 <\\s>',"b""1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2."""
b'<s> obviously there is a problem with the adhesive <\\s>',b'Obviously there is a problem with the adhesive.'
b'<s> very disappointing <\\s>',b'Very disappointing.'
b'<s> it was an inexpensive piece but i would still have expected better quality <\\s>',"b'It was an inexpensive piece, but I would still have expected better quality.'"
b'<s> it is practically useless and did not add any kind of boost to my reception after i bought it <\\s>',b'It is practically useless and did not add any kind of boost to my reception after I bought it.'
b'<s> excellent sound quality <\\s>',b'Excellent sound quality.'
b'<s> was not happy <\\s>',b'Was not happy.'
b'<s> a piece of junk that broke after being on my phone for 2 days <\\s>',b'A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!'
b'<s> new battery works great in phone <\\s>',b'New Battery works great in phone.'
b'<s> worst customer service <\\s>',b'Worst customer service.'
b'<s> ive dropped my phone more times than i can say even on concrete and my phone is still great knock on wood <\\s>',"b""I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!)."""
b'<s> reception is terrible and full of static <\\s>',b'Reception is terrible and full of static.'
b'<s> this little device has transformed my organizational capability and made my life a whole lot easier <\\s>',b'This little device has transformed my organizational capability and made my life a whole lot easier.'
b'<s> i was sitting in my vehicle with the cradle on my belt and the headset lost signal <\\s>',"b'I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.'"
b'<s> were jerks on the phone <\\s>',b'Were JERKS on the phone.'
